coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adubari99w,7,WAS,WNBA,0,18,16,0,2
boguemu01w,7,CHA,WNBA,0,11,23,0,0
bryanjo01w,7,LAS,WNBA,0,25,9,2,3
chancva99w,7,HOU,WNBA,0,18,16,0,2
cowenda01w,7,CHI,WNBA,0,5,29,0,0
coylepa99w,7,NYL,WNBA,0,11,23,0,0
donovan99w,7,SEA,WNBA,0,18,16,1,2
hugheda99w,7,SAS,WNBA,0,13,21,0,0
jenkica99w,7,MIN,WNBA,2,1,10,0,0
laimbbi01w,7,DET,WNBA,0,23,11,7,3
mcconsu01w,7,MIN,WNBA,1,9,14,0,0
thibami99w,7,CON,WNBA,0,26,8,3,2
westhpa99w,7,PHO,WNBA,0,18,16,0,0
whisejo99w,7,SAC,WNBA,0,21,13,6,3
wintebr01w,7,IND,WNBA,0,21,13,0,2
