playerID,year,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,team_wins,team_losses,conference_rank,playoff_made,confID
abrossv01w,2,846,343,174,53,42,9,85,70,293,114,132,96,12,20,6,0,1
abrossv01w,3,805,314,146,60,42,10,92,73,316,119,116,56,10,22,8,0,1
abrossv01w,4,792,318,141,82,44,11,90,79,285,112,98,69,18,16,4,1,1
abrossv01w,5,462,146,74,45,30,2,43,42,139,49,46,28,18,16,3,1,1
abrossv01w,6,777,304,107,60,48,6,80,86,276,109,73,53,14,20,6,0,1
abrossv01w,7,724,263,106,54,34,1,61,66,241,99,62,41,10,24,7,0,1
abrossv01w,8,843,345,150,85,44,4,68,86,298,132,43,36,10,24,6,0,1
abrossv01w,9,107,34,20,12,8,0,11,13,36,11,12,10,21,13,2,1,0
adamsjo01w,4,96,33,23,4,2,3,10,10,33,13,2,2,18,16,4,1,1
aguilel01w,3,141,43,11,16,3,2,11,5,33,14,7,4,20,12,3,1,1
ajavoma01w,9,604,273,60,59,31,6,55,85,284,94,91,72,17,17,5,0,1
ajavoma01w,10,587,272,64,37,37,4,50,84,253,85,110,74,16,18,4,1,0
aldrima01w,1,272,63,24,28,9,4,27,30,54,25,22,7,14,18,4,1,0
aldrima01w,2,35,7,2,2,0,0,4,5,9,3,1,1,10,22,8,0,0
alhalta01w,2,252,49,38,14,11,0,28,20,58,19,14,7,13,19,5,0,0
allench01w,9,49,16,6,3,1,0,6,5,16,7,0,0,18,16,4,1,1
amachma01w,2,3,1,1,0,0,1,1,2,0,0,2,1,21,11,2,1,0
amachma01w,4,47,8,14,0,5,2,9,3,10,3,4,2,18,16,5,0,1
amachma01w,6,3,2,0,0,0,0,0,0,1,0,2,2,16,18,5,0,0
ambermo01w,3,4,0,0,0,0,0,0,2,0,0,0,0,14,18,6,0,1
anderam01w,7,1,0,2,0,0,0,0,0,0,0,0,0,26,8,1,1,0
anderam01w,7,9,0,2,0,1,0,1,0,1,0,0,0,11,23,5,0,0
anderch01w,4,171,42,24,5,5,5,17,33,44,19,12,4,19,15,3,1,1
anderch01w,5,231,77,34,5,3,6,25,46,64,25,37,27,18,16,4,1,1
anderch01w,6,669,203,90,11,8,15,55,106,178,83,46,37,7,27,7,0,1
anderch01w,7,414,153,85,15,7,10,29,73,112,59,45,35,13,21,6,0,1
anderch01w,8,86,28,20,3,1,5,5,11,20,10,12,8,20,14,2,1,1
anderjo01w,9,367,97,58,26,7,1,16,17,126,35,15,11,21,13,2,1,0
anderke01w,1,434,75,46,75,25,3,47,53,68,29,18,14,14,18,4,1,0
anderke01w,2,102,12,15,14,6,0,17,8,16,2,10,8,18,14,4,1,0
anderke01w,3,31,7,6,5,0,0,3,4,12,3,0,0,18,14,2,1,0
