playerID,year,avg_rating,avg_conference_rank,team_wins,team_losses,minutes,playoffs_made,all_decade_team
abrossv01w,7,250.4,5.4,72,94,3682,2,0
adamsjo01w,7,35.0,4.0,18,16,96,1,0
aguilel01w,7,42.0,3.0,20,12,141,1,0
aldrima01w,7,29.0,6.0,24,40,307,1,0
alhalta01w,7,38.0,5.0,13,19,252,0,0
amachma01w,7,4.333333333333333,4.0,55,45,53,1,0
ambermo01w,7,0.0,6.0,14,18,4,0,0
anderch01w,7,83.33333333333333,4.666666666666667,44,58,1071,2,0
anderke01w,7,51.333333333333336,3.333333333333333,50,46,567,3,0
andrame01w,7,161.5,3.75,65,65,2420,2,0
arcaija01w,7,375.8,2.6,109,55,5462,5,0
askamma01w,7,142.75,4.0,73,55,1587,2,0
aycocan01w,7,3.0,7.0,21,43,13,0,0
azizle01w,7,9.0,5.0,16,18,44,0,0
azzije01w,7,318.25,4.25,69,61,4051,2,0
badertr01w,7,29.666666666666668,3.333333333333333,49,47,447,2,0
banchrh01w,7,1.0,3.0,21,11,21,1,0
baranel01w,7,461.75,3.5,72,62,3835,3,0
barksla01w,7,37.66666666666666,6.0,39,59,488,0,0
barnead01w,7,75.8,2.8,94,70,1312,4,0
barnequ01w,7,78.33333333333333,7.666666666666667,27,69,947,0,0
batkosu01w,7,217.0,2.0,20,14,461,1,0
batteja01w,7,0.0,6.0,14,20,46,0,0
battlas01w,7,2.0,2.0,20,14,8,1,0
bauerca01w,7,40.0,7.333333333333333,32,64,733,0,0
beardal01w,7,397.5,4.5,33,35,2040,1,0
bennije01w,7,11.0,2.0,21,13,52,1,0
berthlu01w,7,43.0,5.666666666666667,40,60,351,1,0
beviltu01w,7,167.16666666666666,4.666666666666667,96,102,3488,2,0
bibbyje01w,7,9.0,1.0,20,12,69,1,0
bibrzag01w,7,124.0,7.0,9,25,465,0,0
birdsu01w,7,454.75,3.25,75,59,4413,3,1
bjorkte01w,7,-1.0,5.0,16,18,13,0,0
blackde01w,7,228.0,3.8,84,80,3385,3,0
blodgci01w,7,28.5,2.5,41,23,205,2,0
blueoc01w,7,19.0,4.0,33,35,192,1,0
boltoru01w,7,206.8,3.6,92,72,3177,4,1
bonfisu01w,7,107.0,7.0,11,21,306,0,0
boydca01w,7,66.0,7.0,10,22,230,0,0
braxtka01w,7,180.0,4.0,16,18,455,1,0
brazian01w,7,91.0,7.0,18,46,544,0,0
bristre01w,7,0.0,4.0,18,14,5,1,0
brogami01w,7,288.0,4.0,20,12,725,1,0
brondsa01w,7,216.66666666666663,4.666666666666667,53,45,2588,1,0
brownco01w,7,74.66666666666667,4.333333333333333,52,50,943,1,0
browned01w,7,169.25,6.75,41,89,2492,0,0
brownki01w,7,42.2,4.4,78,90,780,3,0
brownru01w,7,230.75,3.0,67,63,2390,3,0
brumfma01w,7,75.0,3.6666666666666665,53,45,983,2,0
brungje01w,7,34.0,1.0,44,24,361,2,0
brunsre01w,7,248.0,2.5,43,25,1216,2,0
bullevi01w,7,427.6666666666667,5.0,41,55,3120,2,0
burgean01w,7,186.66666666666663,6.0,36,62,2204,1,0
burgeli01w,7,13.0,3.0,21,11,41,1,0
burraal01w,7,168.5,6.0,55,75,1489,0,0
burseja01w,7,188.8,4.4,80,86,2324,3,0
buttsta01w,7,97.0,3.0,18,16,423,1,0
byearla01w,7,238.75,1.5,98,32,1818,4,0
campbed01w,7,105.83333333333331,5.0,84,114,2680,3,0
campbmi01w,7,4.0,4.0,14,18,22,1,0
cantydo01w,7,208.66666666666663,5.166666666666667,85,113,4449,2,0
careyja01w,7,17.0,1.0,26,8,86,1,0
carteam01w,7,1.5,3.0,35,33,26,2,0
cashsw01w,7,432.5,4.0,67,67,3739,3,0
cassija01w,7,52.0,6.0,13,19,175,0,0
castriz01w,7,90.66666666666669,5.0,43,57,1239,1,0
catchta01w,7,693.0,4.25,68,66,4700,2,1
caufila01w,7,15.0,3.0,20,12,65,1,0
chapmji01w,7,27.0,8.0,9,23,119,0,0
choneka01w,7,15.5,4.5,33,35,176,1,0
chriska01w,7,135.25,6.0,52,82,1587,0,0
chrissh01w,7,202.0,2.5,36,32,1369,2,0
clearmi01w,7,82.0,4.5,33,31,558,1,0
clinest01w,7,45.333333333333336,4.333333333333333,50,46,465,2,0
cokermo01w,7,5.0,1.0,25,9,14,1,0
colemco01w,7,31.0,3.0,18,16,141,1,0
colleka01w,7,71.0,4.5,33,31,994,1,0
consuca01w,7,4.0,3.0,19,13,50,1,0
coopeca01w,7,27.5,1.5,39,25,170,2,0
coopecy01w,7,283.0,2.0,47,19,1229,2,1
crawlsy01w,7,285.75,6.25,49,81,3234,0,0
crockda01w,7,22.0,3.0,20,12,84,1,0
cunnibe01w,7,28.0,4.0,14,18,198,1,0
cunnida01w,7,-2.0,5.0,16,16,21,0,0
curryed01w,7,32.0,5.5,25,43,318,1,0
dalesst01w,7,271.6666666666667,4.666666666666667,43,57,2585,2,0
daleygr01w,7,58.0,4.25,68,62,856,2,0
darlihe01w,7,181.0,3.2,80,86,3473,4,0
deforan01w,7,334.0,5.5,55,79,3781,0,0
derevje01w,7,39.5,1.0,44,24,499,2,0
desouer01w,7,8.0,1.0,25,7,41,1,0
dickeke01w,7,105.0,4.5,34,30,797,1,0
dillata01w,7,14.0,6.666666666666667,28,74,424,0,0
dixonta01w,7,305.6666666666667,1.5,147,51,5327,6,0
donapbe01w,7,65.5,4.0,34,34,481,1,0
dossaci01w,7,126.0,4.333333333333333,45,51,1145,1,0
douglka01w,7,320.4,3.0,91,75,4230,3,0
dydekma01w,7,455.6666666666667,4.166666666666667,104,94,4900,3,0
edwarmi01w,7,29.666666666666668,6.0,33,63,485,1,0
edwarsi01w,7,184.33333333333331,4.833333333333333,91,107,3184,3,0
edwarte01w,7,235.0,3.5,36,32,1551,2,0
edwarto01w,7,121.25,3.75,69,59,1809,3,0
elysh01w,7,115.0,7.0,7,27,528,0,0
enissh01w,7,145.25,4.0,62,68,1618,3,0
erbsu01w,7,97.33333333333331,4.666666666666667,44,52,765,2,0
fallotr01w,7,288.0,5.0,13,19,841,0,0
farriba01w,7,113.83333333333331,4.666666666666667,91,107,2641,3,0
feastal01w,7,280.3333333333333,3.333333333333333,104,94,5246,4,0
feifesu01w,7,4.0,1.0,25,9,24,1,0
ferdima01w,7,318.2,5.2,67,99,4553,2,0
