coachID,year,tmID,lgID,stint,won,lost,post_wins,post_losses
adubari99w,8,WAS,WNBA,1,0,4,0,0
bouceje01w,8,SAC,WNBA,0,19,15,1,2
coopemi01w,8,LAS,WNBA,0,10,24,0,0
coylepa99w,8,NYL,WNBA,0,16,18,1,2
donovan99w,8,SEA,WNBA,0,17,17,0,2
hugheda99w,8,SAS,WNBA,0,20,14,2,3
laimbbi01w,8,DET,WNBA,0,24,10,6,5
overtbo99w,8,CHI,WNBA,0,14,20,0,0
rollitr01w,8,WAS,WNBA,2,16,14,0,0
thibami99w,8,CON,WNBA,0,18,16,1,2
thompka99w,8,HOU,WNBA,0,13,21,0,0
westhpa99w,8,PHO,WNBA,0,23,11,7,2
wintebr01w,8,IND,WNBA,0,21,13,3,3
zierddo99w,8,MIN,WNBA,0,10,24,0,0
